Name,Symbol,Standard,Description,ID,Thumbnail,Frontend,Verified,Total_supply,Twitter,Discord,Release date?,Standard repo,Questions,Command
WICP,WICP,WICP,Wrapped version of the Internet Computer’s native ICP token that can be held by Principal IDs,utozz-siaaa-aaaam-qaaxq-cai,https://storageapi.fleek.co/fleek-team-bucket/logos/wicp-logo.png,https://dank.ooo/wicp/,yes,0,,,,https://github.com/Toniq-Labs/extendable-token,Is the nft standard the same as the token?,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""WICP\""; name= \""WICP\""; standard= \""WICP\""; description= \""utozz-siaaa-aaaam-qaaxq-cai\""; icon= \""https://storageapi.fleek.co/fleek-team-bucket/logos/wicp-logo.png\""})"""
Cycles,XTC,XTC,A cycles token by Dank that allows users & developers to hold cycles and develop with them with just a Principal ID. No need for a Cycles Wallet.,aanaa-xaaaa-aaaah-aaeiq-cai,https://storageapi.fleek.co/fleek-team-bucket/Dank/XTC-DAB.png,https://dank.ooo/xtc/,yes,0,,,,https://github.com/Toniq-Labs/extendable-token,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""XTC\""; name= \""Cycles\""; standard= \""XTC\""; description= \""aanaa-xaaaa-aaaah-aaeiq-cai\""; icon= \""https://storageapi.fleek.co/fleek-team-bucket/Dank/XTC-DAB.png\""})"""
,,,,,,,,,,,,https://github.com/Toniq-Labs/extendable-token,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/Toniq-Labs/extendable-token,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/Toniq-Labs/extendable-token,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/Toniq-Labs/extendable-token,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/Toniq-Labs/extendable-token,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/Toniq-Labs/extendable-token,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/Toniq-Labs/extendable-tokenn,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/Toniq-Labs/extendable-token,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/stopak/ICPunks/blob/dev/service/icpunks_rust.did,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/stopak/ICPunks/blob/dev/service/icpunks_rust.did,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,https://github.com/stopak/ICPunks/blob/dev/service/icpunks_rust.did,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
,,,,,,,,,,,,,,"dfx canister --network=ic --no-wallet call nft add ""(record {principal_id= principal \""\""; name= \""\""; standard= \""\""; description= \""\""; icon= \""\""})"""
